id;start_date;end_date;language
1;2021-08-10T05:23:56;2021-08-10T03:14:11;ENGLISH
2;2021-08-09T14:51:31;2021-08-10T00:17:00;FRENCH
3;2021-08-10T00:47:43;2021-08-09T12:52:51;SPANISH
4;2021-08-10T05:18:32;2021-08-09T10:44:51;FRENCH
5;2021-08-10T07:34:55;2021-08-09T15:53:53;ENGLISH
6;2021-08-09T17:05:38;2021-08-10T07:05:58;SPANISH
7;2021-08-10T01:09:26;2021-08-09T11:43:35;FRENCH
8;2021-08-09T15:35:19;2021-08-09T12:11:08;FRENCH
9;2021-08-09T16:26:57;2021-08-10T03:58:23;FRENCH
10;2021-08-09T12:23:55;2021-08-10T05:21:24;FRENCH
